100;19; 
27;26; 
58;21; 
51;17; 
91;14; 
93;14; 
16;58; 
35;92; 
66;1; 
12;73; 
92;36; 
79;11; 
39;55; 
38;26; 
13;73; 
55;88; 
54;95; 
96;6; 
68;96; 
60;92; 
54;56; 
59;12; 
36;26; 
20;97; 
62;17; 
41;86; 
41;29; 
81;74; 
49;38; 
5;26; 
59;63; 
49;7; 
51;33; 
51;77; 
545;83; 
71;76; 
40;69; 
7;34; 
38;57; 
46;81; 
432;26; 
66;66; 
59;41; 
59;72; 
85;90; 
59;63; 
13;44; 
8;51; 
99;71; 
94;61; 
13;4; 
43;73; 
21;40; 
89;10; 
25;75; 
69;25; 
84;1; 
10;78; 
77;85; 
40;38; 
6;11; 
7;24; 
17;68; 
94;19; 
48;3; 
33;18; 
45;76; 
67;12; 
39;62; 
66;20; 
82;36; 
2;67; 
87;89; 
1;22; 
44;87; 
36;4; 
64;36; 
96;32; 
25;24; 
467;66; 
15;50; 
14;24; 
27;65; 
44;10; 
1;69; 
77;22; 
3;100; 
53;37; 
5;25; 
15;65; 
56;35; 
13;33; 
51;62; 
13;71; 
11;92; 
56;26; 
4;82; 
54;4; 
88;36; 
66;40; 
7;83; 
53;13; 
31;32; 
46;75; 
36;12; 
40;71; 
15;13; 
78;68; 
89;89; 
76;88; 
76;54; 
78;46; 
72;43; 
81;85; 
80;42; 
4;91; 
41;13; 
52;86; 
54;86; 
73;67; 
36;58; 
82;37; 
95;56; 
93;58; 
78;71; 
64;4; 
68;8; 
79;93; 
78;1; 
38;86; 
52;1; 
78;76; 
25;83; 
7;14; 
9;72; 
43;76; 
58;54; 
32;33; 
16;45; 
34;58; 
76;31; 
72;83; 
86;24; 
95;75; 
29;9; 
27;72; 
100;32; 
85;78; 
73;27; 
36;20; 
7;91; 
16;35; 
1;49; 
2;99; 
45;14; 
96;40; 
28;6; 
63;48; 
13;88; 
69;2; 
93;29; 
83;50; 
2;78; 
51;81; 
17;60; 
34;22; 
65;2; 
46;52; 
6;70; 
88;58; 
48;63; 
55;53; 
57;25; 
83;49; 
64;10; 
12;40; 
46;10; 
89;23; 
55;7; 
7;18; 
77;59; 
13;43; 
40;62; 
48;72; 
49;11; 
15;34; 
99;77; 
4;65; 
8;88; 
73;2; 
43;57; 
994;44; 
77;40; 
52;13; 
44;13; 
60;39; 
52;2; 
72;81; 
28;57; 
91;19; 
11;98; 
43;18; 
42;10; 
23;83; 
94;90; 
5;87; 
5;33; 
33;94; 
87;73; 
83;75; 
83;75; 
43;83; 
5;86; 
86;96; 
11;98; 
12;41; 
16;83; 
88;27; 
26;74; 
37;36; 
34;8; 
73;8; 
86;54; 
31;85; 
14;89; 
28;60; 
97;56; 
19;85; 
43;31; 
1;17; 
97;65; 
46;59; 
74;4; 
73;23; 
64;25; 
96;29; 
36;85; 
87;67; 
79;77; 
17;28; 
11;10; 
63;52; 
4;57; 
62;12; 
90;83; 
89;50; 
65;94; 
7;35; 
63;83; 
66;90; 
48;24; 
60;44; 
34;20; 
72;25; 
77;79; 
24;35; 
69;42; 
97;27; 
40;12; 
13;4; 
99;57; 
46;88; 
82;44; 
74;73; 
89;80; 
2;55; 
35;3; 
93;72; 
76;7; 
72;13; 
24;55; 
53;21; 
22;30; 
28;12; 
90;5; 
91;64; 
84;51; 
76;100; 
90;62; 
12;49; 
66;79; 
18;33; 
41;99; 
2;75; 
51;66; 
13;75; 
26;23; 
3;6; 
82;80; 
73;20; 
37;13; 
16;23; 
31;76; 
29;71; 
19;40; 
84;67; 
20;20; 
57;79; 
95;99; 
44;50; 
8;83; 
4;64; 
73;44; 
9;72; 
8;92; 
65;5; 
17;20; 
95;26; 
81;38; 
13;60; 
77;77; 
57;72; 
45;25; 
90;33; 
73;86; 
54;70; 
12;49; 
34;95; 
33;18; 
54;67; 
80;17; 
76;2; 
21;13; 
81;36; 
75;30; 
50;49; 
34;99; 
62;27; 
9;15; 
67;85; 
4;21; 
85;35; 
83;50; 
29;25; 
60;13; 
28;74; 
86;4; 
97;54; 
98;4; 
20;14; 
55;85; 
4;1; 
42;23; 
30;85; 
24;37; 
91;61; 
71;38; 
95;68; 
18;84; 
17;89; 
60;52; 
54;6; 
5;39; 
49;6; 
44;12; 
13;72; 
58;95; 
85;99; 
22;7; 
77;23; 
100;94; 
1;33; 
42;45; 
68;13; 
29;80; 
3;56; 
7;59; 
88;60; 
66;17; 
9;62; 
7;87; 
10;66; 
4;80; 
11;12; 
42;60; 
79;95; 
85;51; 
33;27; 
33;18; 
84;42; 
